time, Quad.Est.E.Pos, Quad.Est.S.Z
2.929970,0.210391,0.350872
2.934970,0.210564,0.351043
2.939969,0.210671,0.351158
2.944969,0.210857,0.351331
2.949969,0.211010,0.351447
2.954968,0.211230,0.351622
2.959968,0.211377,0.351738
2.964967,0.211598,0.351914
2.969967,0.211742,0.352032
2.974967,0.211964,0.352210
2.979966,0.212119,0.352329
2.984966,0.212343,0.352508
2.989966,0.212453,0.352627
2.994965,0.212672,0.352808
2.999965,0.212915,0.352929
3.004965,0.226778,0.351833
3.009964,0.226850,0.351944
3.014964,0.226979,0.352112
3.019964,0.226978,0.352224
3.024963,0.227131,0.352394
3.029963,0.227291,0.352507
3.034962,0.227429,0.352678
3.039962,0.227515,0.352793
3.044962,0.227667,0.352965
3.049961,0.227770,0.353080
3.054961,0.227926,0.353254
3.059961,0.228002,0.353370
3.064960,0.228149,0.353545
3.069960,0.228276,0.353663
3.074960,0.228434,0.353840
3.079959,0.228561,0.353958
3.084959,0.228726,0.354136
3.089958,0.228909,0.354256
3.094958,0.229086,0.354435
3.099958,0.229180,0.354556
3.104957,0.216498,0.353464
3.109957,0.216540,0.353575
3.114957,0.216546,0.353742
3.119956,0.216579,0.353854
3.124956,0.216581,0.354023
3.129956,0.216584,0.354136
3.134955,0.216589,0.354306
3.139955,0.216593,0.354420
3.144954,0.216603,0.354591
3.149954,0.216611,0.354706
3.154954,0.216624,0.354879
3.159953,0.216633,0.354995
3.164953,0.216650,0.355170
3.169953,0.216663,0.355286
3.174952,0.216681,0.355462
3.179952,0.216693,0.355580
3.184952,0.216711,0.355758
3.189951,0.216726,0.355877
3.194951,0.216747,0.356056
3.199950,0.216761,0.356176
3.204950,0.207123,0.355088
3.209950,0.207175,0.355198
3.214949,0.207278,0.355365
3.219949,0.207326,0.355476
3.224949,0.207431,0.355644
3.229948,0.207496,0.355757
3.234948,0.207603,0.355926
3.239948,0.207671,0.356040
3.244947,0.207781,0.356210
3.249947,0.207852,0.356325
3.254946,0.207958,0.356497
3.259946,0.208010,0.356613
3.264946,0.208106,0.356786
3.269945,0.208177,0.356903
3.274945,0.208274,0.357078
3.279945,0.208326,0.357195
3.284944,0.208420,0.357372
3.289944,0.208474,0.357490
3.294944,0.208565,0.357669
3.299943,0.208691,0.357788
3.304943,0.180807,0.356704
3.309942,0.180665,0.356814
3.314942,0.180490,0.356980
3.319942,0.180378,0.357091
3.324941,0.180204,0.357258
3.329941,0.180111,0.357370
3.334941,0.179933,0.357539
3.339940,0.179814,0.357652
3.344940,0.179638,0.357822
3.349940,0.179522,0.357936
3.354939,0.179344,0.358108
3.359939,0.179230,0.358223
3.364938,0.179056,0.358396
3.369938,0.178941,0.358512
3.374938,0.178769,0.358686
3.379937,0.178667,0.358803
3.384937,0.178498,0.358979
3.389937,0.178375,0.359097
3.394936,0.178209,0.359274
3.399936,0.178101,0.359393
3.404936,0.193779,0.358314
3.409935,0.193821,0.358423
3.414935,0.193866,0.358588
3.419935,0.193898,0.358699
3.424934,0.193946,0.358865
3.429934,0.193980,0.358977
3.434933,0.194031,0.359145
3.439933,0.194067,0.359258
3.444933,0.194123,0.359427
3.449932,0.194161,0.359540
3.454932,0.194221,0.359711
3.459932,0.194258,0.359826
3.464931,0.194319,0.359998
3.469931,0.194356,0.360113
3.474931,0.194419,0.360287
3.479930,0.194463,0.360404
3.484930,0.194531,0.360579
3.489929,0.194584,0.360696
3.494929,0.194655,0.360873
3.499929,0.194679,0.360991
3.504928,0.218962,0.359916
3.509928,0.219295,0.360025
3.514928,0.219731,0.360189
3.519927,0.220034,0.360300
3.524927,0.220470,0.360465
3.529927,0.220743,0.360576
3.534926,0.221188,0.360744
3.539926,0.221493,0.360856
3.544925,0.221928,0.361024
3.549925,0.222218,0.361137
3.554925,0.222654,0.361308
3.559924,0.222948,0.361421
3.564924,0.223387,0.361593
3.569924,0.223675,0.361708
3.574923,0.224115,0.361881
3.579923,0.224354,0.361997
3.584923,0.224782,0.362171
3.589922,0.225011,0.362288
3.594922,0.225431,0.362464
3.599921,0.225748,0.362582
3.604921,0.261560,0.361511
3.609921,0.261689,0.361620
3.614920,0.261978,0.361783
3.619920,0.262226,0.361893
3.624920,0.262508,0.362058
3.629919,0.262725,0.362169
3.634919,0.263002,0.362335
3.639919,0.263197,0.362447
3.644918,0.263470,0.362615
3.649918,0.263670,0.362727
3.654917,0.263967,0.362897
3.659917,0.264198,0.363010
3.664917,0.264514,0.363181
3.669916,0.264642,0.363296
3.674916,0.264939,0.363468
3.679916,0.265042,0.363583
3.684915,0.265324,0.363757
3.689915,0.265542,0.363873
3.694915,0.265836,0.364049
3.699914,0.266052,0.364166
3.704914,0.235157,0.363099
3.709913,0.235332,0.363207
3.714913,0.235513,0.363370
3.719913,0.235570,0.363480
3.724912,0.235768,0.363644
3.729912,0.235898,0.363754
3.734912,0.236100,0.363920
3.739911,0.236232,0.364031
3.744911,0.236441,0.364198
3.749911,0.236568,0.364310
3.754910,0.236764,0.364479
3.759910,0.236886,0.364592
3.764910,0.237081,0.364762
3.769909,0.237271,0.364876
3.774909,0.237487,0.365048
3.779908,0.237740,0.365163
3.784908,0.237980,0.365336
3.789908,0.238136,0.365452
3.794907,0.238376,0.365626
